,anio,eleccion,partido,votos,censo
41,2010,CmaraNegritudes,FUNDACIONCOMUNIDADESDELPACIFICOCOLOMBIANOFUNCOPACOL,3,14902
3,2010,CmaraIndgena,VOTOSBLANCOS,179,88737
2,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,170,77211
1,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,125,61608
9,2010,CmaraNegritudes,ASOCIACIONCOLECTIVOAFRODESCENDIENTESPRODERECHOSHUMANO,2,15490
10,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,12,48985
19,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,13,39047
18,2010,CmaraNegritudes,ASOCIACIONKUAGROSOCIALLOSMARLINSAKUASOMAR,1,7055
20,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,14,79039
8,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,10,40901
5,2010,CmaraNegritudes,ASOCIACIONAFROCOLOMBIANAINTERCAMBIODEEXPERIENCIASAIE,2,28288
4,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,28,67979
38,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,8,39261
21,2010,CmaraNegritudes,ASOCIACIONNUEVAVIDA,1,2785
37,2010,CmaraNegritudes,CORPORACIONNELSONMANDELACORMANDELA,6,36695
36,2010,CmaraNegritudes,CORPORACIONDELIDERAZGOYDESARROLLOEMPRESARIALAFROCOLO,5,16821
30,2010,CmaraNegritudes,COPORACIONPARAELDESARROLLOYCAPACITACIONDEBUENAVENTU,8,27546
35,2010,CmaraNegritudes,CORPORACIONCIMARRON,3,52399
34,2010,CmaraNegritudes,CORPORACIONAFROETNICO,4,10996
33,2010,CmaraNegritudes,CORPORACIONAFROCOLOMBIANAMALCOLMX,2,11766
32,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,8,23612
31,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,9,38484
23,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEL,2,7974
29,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,8,14835
28,2010,CmaraNegritudes,CONSEJOCOMUNITARIODELAINSPECCIONDEPOLICIADEPUERTO,3,15857
27,2010,CmaraNegritudes,CONSEJOCOMUNITARIODECORDOBAYSANCIPRIANODELMUNICIPI,3,1723
26,2010,CmaraNegritudes,COMUNIDADESAFROCOLOMBIANASYNEGRITUDESORGANIZADASPARA,3,3531
25,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDES,4,40377
24,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEP,7,18245
22,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEB,1,14515
39,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,5,27772
113,2014,CmaraNegritudes,FUNDPARAELDESINTEGDELAFRODESCENDIENTEFUNDIAFRO,3,29876
115,2014,CmaraNegritudes,FUNPROESAT,1,2220
122,2014,CmaraNegritudes,VOTOENBLANCO,328,125942
116,2014,CmaraNegritudes,LOSPALENKESBELLAVISTACH,12,11567
112,2014,CmaraNegritudes,FUNDPARAELDESARROLLODELACUENDELPACFCOLOMBIANO,15,72974
119,2014,CmaraNegritudes,ORGTNICACOMUNITARIAAFROCOLOMBIANAOECA,6,24731
121,2014,CmaraNegritudes,UNETE,18,17854
117,2014,CmaraNegritudes,MOVIMIENTOAFROCOLOMBIANOSOCIOAMBIENTALISTAMACOAS,11,53665
123,2014,CmaraTerritorial,MOVIMIENTODEINCLUSINYOPORTUNIDADES,61,108529
118,2014,CmaraNegritudes,MOVIMIENTODEINCLUSINYOPORTUNIDADES,23,88526
120,2014,CmaraNegritudes,SISEPUEDE,5,5328
114,2014,CmaraNegritudes,FUNDPARAELDESLASOLIDARIYLAINTEGDELASCOMUNNEGRASDECO,3,33290
124,2014,CmaraTerritorial,MOVIMIENTOMIRA,10572,134371
129,2014,CmaraTerritorial,PARTIDODELAU,7234,133889
136,2014,CmaraTerritorial,VOTOSNULOS,6264,135204
135,2014,CmaraTerritorial,VOTONOMARCADOS,1731,135498
134,2014,CmaraTerritorial,VOTOENBLANCO,4692,135289
131,2014,CmaraTerritorial,PARTIDOOPCIONCIUDADANA,319,123759
125,2014,CmaraTerritorial,PARTIDOALIANZASOCIALINDEPENDIENTE,1918,120290
132,2014,CmaraTerritorial,PARTIDOUNIONPATRIOTICAUP,934,136653
130,2014,CmaraTerritorial,PARTIDOLIBERALCOLOMBIANO,3053,132949
128,2014,CmaraTerritorial,PARTIDOCONSERVADORCOLOMBIANO,5621,132546
127,2014,CmaraTerritorial,PARTIDOCAMBIORADICAL,3231,132739
126,2014,CmaraTerritorial,PARTIDOALIANZAVERDE,3088,137490
133,2014,CmaraTerritorial,POLODEMOCRATICOALTERNATIVO,2513,133589
110,2014,CmaraNegritudes,FUNDACIONFORFUTURO,4,66226
111,2014,CmaraNegritudes,FUNDACIONINTENSIDADFUNDAIN,3,2003
108,2014,CmaraNegritudes,FUNDACIONEBANODECOLOMBIAFUNECO,28,105694
106,2014,CmaraNegritudes,FUNDACIONAFROCOLOMBIANOSENACCION,25,19183
90,2014,CmaraIndgena,RENOVACIONETNICADECOLOMBIA,33,81661
89,2014,CmaraIndgena,MOVUNIDADINDGENAYPOPULARPORCOLMUIPC,19,30051
91,2014,CmaraIndgena,VIANUEVA,13,24060
93,2014,CmaraNegritudes,AFROVIDES,16,64151
92,2014,CmaraIndgena,VOTOENBLANCO,142,119965
83,2014,CmaraIndgena,AIMAC,8,28022
87,2014,CmaraIndgena,MOVIMIENTOALTERNATIVOINDIGENAYSOCIALMAIS,46,40615
94,2014,CmaraNegritudes,ASOCDEAFRODESCENDIENTESDELMAGDMEDIOAFRODMAM,1,6
86,2014,CmaraIndgena,EMBERACHAMIDELRESGUARDOINDIGENADACHIAGOREDRUA,13,48214
84,2014,CmaraIndgena,ASOCDEAUTORIDADESTRADYCABILDOSINDGENASDECOL,25,38125
88,2014,CmaraIndgena,MOVIMIENTOAUTORIDADESINDIGENASDECOLOMBIA,48,88260
85,2014,CmaraIndgena,ASOCIACIONDEAUTORIDADESTRADICIONALESINDIGENASOPIC,10,6507
100,2014,CmaraNegritudes,CORPNELSONMANDELACORMANDELA,6,14800
107,2014,CmaraNegritudes,FUNDACIONCULTURALCOSTACARIBEFUNCULCOSTA,6,16904
97,2014,CmaraNegritudes,ASODEPORTES,35,118212
98,2014,CmaraNegritudes,ASOPRA,12,61271
99,2014,CmaraNegritudes,CONSCOMUNIDELOSCORREGIDESANANTONIOYELCASTILLO,11,61214
103,2014,CmaraNegritudes,CORPORACIONVIDESYSUSNICHES,2,24437
95,2014,CmaraNegritudes,ASOCONEGUA,89,98348
101,2014,CmaraNegritudes,CORPORACIONAFROETNICOS,2,18632
96,2014,CmaraNegritudes,ASOCREGIONALDEAFROCOLLAMINGAAFROMINGA,3,5046
102,2014,CmaraNegritudes,CORPORACIONPODERCIUDADANO,15,76787
104,2014,CmaraNegritudes,CORPSOCIALEINTEGDELPACFICOCORPOSINPAC,16,12415
105,2014,CmaraNegritudes,EATBOTICACOMUNITARIADELVALLEDELCAUCA,2,118
109,2014,CmaraNegritudes,FUNDACIONESPERANZAAFROESAFRO,34,90451
159,2018,CmaraNegritudes,CONSEJOCOMUNITARIODECOMUNIDADESNEGRASSANTODOMINGO,16,40412
172,2018,CmaraNegritudes,CUENCADELRIOISCUANDE,9,1109
173,2018,CmaraNegritudes,FUNDACINAMORYPAZFAP,13,26445
170,2018,CmaraNegritudes,CONSEJOCOMUNITARIOVEREDASUNIDASUNBIENCOMN,10,112034
171,2018,CmaraNegritudes,CORPORACINPODERCIUDADANO,58,148111
158,2018,CmaraNegritudes,CONSEJOCOMUNITARIODECOMUNIDADESNEGRASOBATALA,5,52010
176,2018,CmaraNegritudes,FUNDACINLABORARPORCOLOMBIAFUNDALABOR,45,128497
180,2018,CmaraNegritudes,FUNDAFRODESCENDIENTEPROFESIONALDECORDOBAFUNAFROPECOR,9,47764
178,2018,CmaraNegritudes,FUNDACINTNICADECOLOMBIAFUNETCOL,6,72289
179,2018,CmaraNegritudes,FUNDAFROCOLOMBIANALIBERALDEDESARROLLOSOCIALAFROCODES,8,104371
161,2018,CmaraNegritudes,CONSEJOCOMUNITARIODELASBARAS,5,75571
168,2018,CmaraNegritudes,CONSEJOCOMUNITARIORENACERNEGRO,25,28524
160,2018,CmaraNegritudes,CONSEJOCOMUNITARIODELACOMUNIDADNEGRADELIMONES,36,62932
183,2018,CmaraNegritudes,MOVIMIENTOTODOSSOMOSCOLOMBIATSC,143,134990
188,2018,CmaraTerritorial,PARTIDOALIANZAVERDE,14876,197953
185,2018,CmaraNegritudes,SISEPUEDE,35,129502
199,2018,CmaraTerritorial,VOTOSNULOS,8448,197857
197,2018,CmaraTerritorial,VOTOENBLANCO,5331,199791
198,2018,CmaraTerritorial,VOTONOMARCADOS,2392,196395
174,2018,CmaraNegritudes,FUNDACINDEPORTIVAVIAFARAFUNDEVIA,19,119637
175,2018,CmaraNegritudes,FUNDACINESPERANZAAFROESAFRO,90,163022
189,2018,CmaraTerritorial,PARTIDOCAMBIORADICAL,2792,204862
169,2018,CmaraNegritudes,CONSEJOCOMUNITARIOTABLONSALADO,13,105004
196,2018,CmaraTerritorial,PARTIDOSOCIALDEUNIDADNACIONALPARTIDODELAU,13829,194742
184,2018,CmaraNegritudes,ORGSOCIALDECOMUNIDADESNEGRASNELSONMANDELA,15,67001
177,2018,CmaraNegritudes,FUNDACINRENACERPARATODOS,7,26778
181,2018,CmaraNegritudes,KUSUTOMAGENDECOKUMALUDELURUACO,22,93090
187,2018,CmaraTerritorial,PARTIDOALIANZASOCIALINDEPENDIENTE,810,182549
186,2018,CmaraNegritudes,VOTOENBLANCO,826,195848
182,2018,CmaraNegritudes,LOSPALENKES,15,46729
157,2018,CmaraNegritudes,CONSEJOCOMUNITARIODEALEJANDRODURANDIAZ,16,52136
190,2018,CmaraTerritorial,PARTIDOCENTRODEMOCRTICO,40048,199184
148,2018,CmaraNegritudes,ASOCIACINCOLOMBIANEGRAHUELLASDEAFRICANIAENPAZ,28,134319
195,2018,CmaraTerritorial,PARTIDOPOLTICOMIRA,19354,201735
192,2018,CmaraTerritorial,PARTIDOLIBERALCOLOMBIANO,4241,202781
146,2018,CmaraNegritudes,ASOCDEAFRSINANIMODELUCRODESCRISTBALSURASAFROSCOL4,13,10304
145,2018,CmaraNegritudes,ASOAFROCDEASENTAMIENANCESTRALMUNICIPIODESANPEDROAFROSANPEDRO,10,71613
147,2018,CmaraNegritudes,ASOCENTRODEAUTORECONOCIMIENTOAFROCOLOMBIANOCENAFRO,12,48191
142,2018,CmaraIndgena,UAIZSACOR,41,117346
194,2018,CmaraTerritorial,PARTIDOPOLODEMOCRTICOALTERNATIVO,5856,196992
137,2018,CmaraIndgena,ASOCNALDECABILDOSYAUTORIDADESINDGENASENCOLANICOL,134,103344
139,2018,CmaraIndgena,FUNDACINTAITAZIPA,73,143333
138,2018,CmaraIndgena,AUTORIDADTRADICIONALCASIYOUREN,14,45913
193,2018,CmaraTerritorial,PARTIDOOPCINCIUDADANA,549,190718
167,2018,CmaraNegritudes,CONSEJOCOMUNITARIOMAYORDECERTEGUI,66,154377
191,2018,CmaraTerritorial,PARTIDOCONSERVADORCOLOMBIANO,3962,202003
150,2018,CmaraNegritudes,CCDECOMUNNEGRASPALENQUEVDALASTRESCIENTASYMUNGALAPA,25,39506
149,2018,CmaraNegritudes,CCANCESTRALDECOMUNIDADESNEGRASPLAYARENACIENTE,64,135145
152,2018,CmaraNegritudes,CCDELACOMUNIDADNEGRADELAPLATABAHAMLAGA,30,123532
153,2018,CmaraNegritudes,CCDELACOMUNNEGRADETIERRABAJAMITERRITORIOANCESTRAL,10,5104
155,2018,CmaraNegritudes,CCGENERALDELROBAUDYSUSAFLUENTESACABA,8,2294
154,2018,CmaraNegritudes,CCDELOSCORREGIMIENTOSDESANANTONIOYELCASTILLO,37,57039
140,2018,CmaraIndgena,MOVIMIENTOALTERNATIVOINDGENAYSOCIALMAIS,1171,197545
141,2018,CmaraIndgena,MOVIMIENTOAUTORIDADESINDGENASDECOLOMBIA,254,176923
162,2018,CmaraNegritudes,CONSEJOCOMUNITARIODELRIOYURUMANGUI,463,120883
163,2018,CmaraNegritudes,CONSEJOCOMUNITARIOIMBILPIDELCARMEN,9,16252
166,2018,CmaraNegritudes,CONSEJOCOMUNITARIOMAKANKAMANADESANBASILIODEPALENQUE,13,29957
156,2018,CmaraNegritudes,CONSEJOCOMUNITARIOBOCASDELATRATOYLEONCITO,18,35667
143,2018,CmaraIndgena,VOTOENBLANCO,767,192555
144,2018,CmaraNegritudes,AGENCIAAFROCOLOMBIANAEMPRESAASOCIATIVADETRABAJOACNEAT,24,53515
164,2018,CmaraNegritudes,CONSEJOCOMUNITARIOLAMAMUNCIA,162,99852
151,2018,CmaraNegritudes,CCDELACOMUNIDADNEGRADELACALLELARGARIODAGUA,21,108758
165,2018,CmaraNegritudes,CONSEJOCOMUNITARIOLOSANDES,34,124034
251,2022,CmaraNegritudes,FUNDACINSOCIALMAGENDEMI,11,98500
250,2022,CmaraNegritudes,FUNDACINPARAELDESARROLLOSOCIALDECOMUNIDADESNEGRAS,106,164963
249,2022,CmaraNegritudes,FERNANDOROSHIDALGO,2662,189347
248,2022,CmaraNegritudes,CORPORACINKOFIANNAN,23,134111
247,2022,CmaraNegritudes,CORPORACINDEEDUCADORESDELLITORALPACIFICOCORELIPA,26,113085
246,2022,CmaraNegritudes,CONSEJOMAYORCONDOTOIR,40,89591
223,2022,CmaraNegritudes,CONSEJOCOMUNITARIODECOMUNIDADESNEGRASDECAMPOHERMOSO,62,146091
244,2022,CmaraNegritudes,CONSEJOCOMUNITPIEDRASBACHICHICORREGSANTACECILIA,27,67864
243,2022,CmaraNegritudes,CONSEJOCOMUNITARIOVEREDASUNIDASUNBIENCOMN,43,201823
242,2022,CmaraNegritudes,CONSEJOCOMUNITARIOUNINPATAVIEJO,58,147228
241,2022,CmaraNegritudes,CONSEJOCOMUNITARIORIOCURBARAD,13,55517
240,2022,CmaraNegritudes,CONSEJOCOMUNITARIORESCATELASVARAS,40,124118
224,2022,CmaraNegritudes,CONSEJOCOMUNITARIODECOMUNIDADESNEGRASDEGUAYABAL,621,185558
225,2022,CmaraNegritudes,CONSEJOCOMUNITARIODECOMUNIDADESNEGRASSOCOLANDO,32,133013
222,2022,CmaraNegritudes,CONSEJOCOMUNITARIOBOCASDETAPARAL,106,176154
216,2022,CmaraNegritudes,COMUNIDADDENEGROSDEAGUASBLANCAS,15,103805
236,2022,CmaraNegritudes,CONSEJOCOMUNITARIOMANUELZAPATAOLIVELLADESANANTERO,184,229186
252,2022,CmaraNegritudes,MOVIMIENTOALIANZADEMOCRTICAAMPLIA,40,105601
271,2022,CmaraTerritorial,TarjetonesNoMarcados,812,239079
270,2022,CmaraTerritorial,PARTIDOPOLTICOMIRA,12426,252597
269,2022,CmaraTerritorial,PARTIDONUEVOLIBERALISMO,7842,250216
259,2022,CmaraNegritudes,Votosenblanco,1278,189008
237,2022,CmaraNegritudes,CONSEJOCOMUNITARIOMAYORDECASIMIRO,65,126566
263,2022,CmaraTerritorial,PACTOHISTRICO,37220,250341
262,2022,CmaraTerritorial,FUERZACOLOMBIA,2371,211242
261,2022,CmaraTerritorial,COALICINMOVIMIENTOSALVACINNACIONALYCOLOMBIAJUSTALIBRES,1853,249387
264,2022,CmaraTerritorial,PARTIDOALIANZAVERDE,11463,250335
257,2022,CmaraNegritudes,SOMOSIDENTIDAD,159,234255
256,2022,CmaraNegritudes,PARTIDOCOLOMBIARENACIENTE,96,144937
255,2022,CmaraNegritudes,PALENQUEDELAVEREDALASTRECIENTASYDELMUNICIPIODEGALAPA,289,181361
253,2022,CmaraNegritudes,ODEPRIVICOR,2,46443
245,2022,CmaraNegritudes,CONSEJOCOMUNITRECUERDODENUESTROSANCESTROSRIOMEJICANO,70,123869
239,2022,CmaraNegritudes,CONSEJOCOMUNITARIOPUERTOGIRN,18,91177
238,2022,CmaraNegritudes,CONSEJOCOMUNITARIOMAYORDECERTEGUI,32,95339
258,2022,CmaraNegritudes,TarjetonesNoMarcados,210,152322
260,2022,CmaraNegritudes,Votosnulos,123,163930
230,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELGUABAL,39,120841
231,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELOSCORREGIMIENTOSDESANANTONIOYELCASTILLOMUNICIPIODEELCERRITO,33,118907
265,2022,CmaraTerritorial,PARTIDOCENTRODEMOCRTICO,29917,250289
266,2022,CmaraTerritorial,PARTIDOCONSERVADORCOLOMBIANO,4154,252266
211,2022,CmaraNegritudes,ALIANZANACIONALAFROCOLOMBIANA,232,169348
210,2022,CmaraNegritudes,AFROMUTATA,44,180309
209,2022,CmaraIndgena,Votosnulos,60,210892
208,2022,CmaraIndgena,Votosenblanco,599,184848
207,2022,CmaraIndgena,TarjetonesNoMarcados,61,161703
267,2022,CmaraTerritorial,PARTIDODELAUNINPORLAGENTEPARTIDODELAU,2812,247050
205,2022,CmaraIndgena,RESGUARDOINDGENAALTAYMEDIAGUAJIRA,305,203509
200,2022,CmaraIndgena,ASOCIACINNACIONALDECABILDOSYAUTORIDADESINDGENASENCOLOMBIAANICOL,263,174218
203,2022,CmaraIndgena,MOVIMIENTOAUTORIDADESINDGENASDECOLOMBIAAICO,362,179050
202,2022,CmaraIndgena,MOVIMIENTOALTERNATIVOINDGENASOCIALMAIS,963,247297
201,2022,CmaraIndgena,CABILDOINDGENAAYWJAWASHI,216,204547
204,2022,CmaraIndgena,PARTIDOINDGENACOLOMBIANOPIC,815,211432
254,2022,CmaraNegritudes,ORGANIZACINTNICADECOMUNIDADESAFROSLOSPALENKES,51,124556
268,2022,CmaraTerritorial,PARTIDOLIBERALCOLOMBIANO,3198,247080
229,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELACOSTAPACFICACONCOSTA,213,174339
272,2022,CmaraTerritorial,Votosenblanco,6682,250365
213,2022,CmaraNegritudes,ASOCIACINAFRODESCENDIENTESDEARBOLETESAFRODESAR,48,126447
212,2022,CmaraNegritudes,ASOCAFROCOLDESPLAZADOSMCPIOGUACARVALLEDELCAUCAADAG,33,110892
206,2022,CmaraIndgena,RESGUARDOINDGENAZENDELALTOSANJORGE,129,187750
214,2022,CmaraNegritudes,CCLATOMA,1309,238139
215,2022,CmaraNegritudes,COACNEJA,1,4986
217,2022,CmaraNegritudes,CONMOGUZ,21,106644
233,2022,CmaraNegritudes,CONSEJOCOMUNITARIODEVUELTAMANZA,20,63288
232,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELROGUAJU,30,106444
226,2022,CmaraNegritudes,CONSEJOCOMUNITARIODEFLAMENCOMUNICIPIODEMARALABAJA,31,102689
228,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELACOMUNIDADNEGRALIMONES,114,142023
227,2022,CmaraNegritudes,CONSEJOCOMUNITARIODELACOMUNIDADNEGRADEVILLAGLORIA,60,148027
234,2022,CmaraNegritudes,CONSEJOCOMUNITARIOINTEGRALDELLOR,52,110444
221,2022,CmaraNegritudes,CONSEJOCOMUNITARIOBOCASDELATRATOYLEONCITO,59,168641
220,2022,CmaraNegritudes,CONSEJOCOMUNITARIOARCILLACARDNYTUNA,25,102672
219,2022,CmaraNegritudes,CONSEJOCOMUNITARIOALTOPARASO,88,147054
218,2022,CmaraNegritudes,CONSEJOCOMUNITARIOAFROZABALETAS,402,215036
235,2022,CmaraNegritudes,CONSEJOCOMUNITARIOLAVOZDELOSNEGROS,501,201293
273,2022,CmaraTerritorial,Votosnulos,935,237791
