,anio,eleccion,partido,pais,votos,censo
42,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ECUADOR,9,4302
43,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ELSALVADOR,1,351
44,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ESPANA,14,11766
45,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ESTADOSUNIDOS,32,5212
46,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,FRANCIA,7,1145
47,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,INGLATERRA,3,7055
48,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ITALIA,4,1715
49,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,MEXICO,1,2522
50,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,NICARAGUA,2,182
51,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PAISESBAJOSARUBA,2,2517
52,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PANAMA,1,908
53,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PUERTORICO,2,102
54,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,SUECIA,2,507
55,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,SUIZA,5,1054
56,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,URUGUAY,1,290
57,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,VENEZUELA,49,28288
58,2010,CmaraIndgena,VOTOSBLANCOS,ALEMANIA,1,608
59,2010,CmaraIndgena,VOTOSBLANCOS,ARGENTINA,8,2859
60,2010,CmaraIndgena,VOTOSBLANCOS,AUSTRALIA,2,805
61,2010,CmaraIndgena,VOTOSBLANCOS,BELGICA,1,1004
62,2010,CmaraIndgena,VOTOSBLANCOS,BRASIL,1,538
63,2010,CmaraIndgena,VOTOSBLANCOS,CANADA,15,3397
64,2010,CmaraIndgena,VOTOSBLANCOS,CHILE,4,2163
65,2010,CmaraIndgena,VOTOSBLANCOS,COSTARICA,2,6350
66,2010,CmaraIndgena,VOTOSBLANCOS,ECUADOR,12,4302
67,2010,CmaraIndgena,VOTOSBLANCOS,ESPANA,29,11766
68,2010,CmaraIndgena,VOTOSBLANCOS,ESTADOSUNIDOS,57,5907
69,2010,CmaraIndgena,VOTOSBLANCOS,FILIPINAS,1,49
70,2010,CmaraIndgena,VOTOSBLANCOS,FRANCIA,4,1145
71,2010,CmaraIndgena,VOTOSBLANCOS,HONDURAS,2,378
72,2010,CmaraIndgena,VOTOSBLANCOS,INGLATERRA,8,7055
73,2010,CmaraIndgena,VOTOSBLANCOS,ITALIA,4,1715
74,2010,CmaraIndgena,VOTOSBLANCOS,MEXICO,3,2522
75,2010,CmaraIndgena,VOTOSBLANCOS,PANAMA,4,6832
76,2010,CmaraIndgena,VOTOSBLANCOS,SUIZA,2,1054
77,2010,CmaraIndgena,VOTOSBLANCOS,VENEZUELA,19,28288
78,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,ARGENTINA,1,2859
79,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,BELGICA,1,1004
80,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,CANADA,2,3376
81,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,COSTARICA,3,6350
82,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,ECUADOR,1,4302
83,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,ELSALVADOR,1,351
84,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,ESPANA,2,11707
85,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,ESTADOSUNIDOS,10,1762
86,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,INGLATERRA,1,7055
87,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,SUIZA,2,635
88,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,URUGUAY,1,290
89,2010,CmaraNegritudes,ALIANZASOCIALAFROCOLOMBIANAASA,VENEZUELA,3,28288
90,2010,CmaraNegritudes,ASOCIACIONAFROCOLOMBIANAINTERCAMBIODEEXPERIENCIASAIE,VENEZUELA,2,28288
91,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,ECUADOR,1,2785
92,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,INGLATERRA,2,7055
93,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,MEXICO,1,2522
94,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,PAISESBAJOSARUBA,1,2517
95,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,VENEZUELA,1,28288
96,2010,CmaraNegritudes,ASOCIACIONAFROMONTELIBANENSEANASTASIOSIERRACIMARRON,URUGUAY,1,290
97,2010,CmaraNegritudes,ASOCIACIONAFROMONTELIBANENSEANASTASIOSIERRACIMARRON,VENEZUELA,1,2220
98,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,BELGICA,1,1004
99,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,ESPANA,1,3846
100,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,ESTADOSUNIDOS,2,553
101,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,HONDURAS,1,378
102,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,PANAMA,2,6832
103,2010,CmaraNegritudes,ASOCIACIONCIVICAFUERZASNEGRAS,VENEZUELA,3,28288
104,2010,CmaraNegritudes,ASOCIACIONCOLECTIVOAFRODESCENDIENTESPRODERECHOSHUMANO,ECUADOR,1,690
105,2010,CmaraNegritudes,ASOCIACIONCOLECTIVOAFRODESCENDIENTESPRODERECHOSHUMANO,ESTADOSUNIDOS,1,14800
106,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,BELGICA,1,1004
107,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,DINAMARCA,1,10
108,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,ECUADOR,1,2785
109,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,ESPANA,4,13237
110,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,ESTADOSUNIDOS,1,1144
111,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,PAISESBAJOSARUBA,1,2517
112,2010,CmaraNegritudes,ASOCIACIONDAMOSLAMANOASODM,VENEZUELA,3,28288
113,2010,CmaraNegritudes,ASOCIACIONDEAFROCOLOMBIANOSPARALAVIVIENDADEPORTEE,ECUADOR,4,2785
114,2010,CmaraNegritudes,ASOCIACIONDEAFROCOLOMBIANOSPARALAVIVIENDADEPORTEE,ESTADOSUNIDOS,3,1144
115,2010,CmaraNegritudes,ASOCIACIONDEAFROCOLOMBIANOSPARALAVIVIENDADEPORTEE,VENEZUELA,10,28288
116,2010,CmaraNegritudes,ASOCIACIONDEAFRODESCENDIENTESDELMUNICIPIODENECOCLIA,ECUADOR,2,2785
117,2010,CmaraNegritudes,ASOCIACIONDEAFRODESCENDIENTESDELMUNICIPIODENECOCLIA,ESPANA,1,3846
118,2010,CmaraNegritudes,ASOCIACIONDEAFRODESCENDIENTESDELMUNICIPIODENECOCLIA,FRANCIA,1,3576
119,2010,CmaraNegritudes,ASOCIACIONDEAFRODESCENDIENTESDELMUNICIPIODENECOCLIA,VENEZUELA,4,28288
120,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,BELGICA,1,1004
121,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,CANADA,1,3397
122,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,ECUADOR,1,2785
123,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,ESTADOSUNIDOS,4,4667
124,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,PANAMA,3,908
125,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,VENEZUELA,3,28288
126,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESNEGRASDEGUACOCHEVALLEDUPARC,ESPANA,1,11707
127,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESNEGRASDEGUACOCHEVALLEDUPARC,ESTADOSUNIDOS,1,5251
128,2010,CmaraNegritudes,ASOCIACIONDEDESPLAZADOSDELACOSTAPACIFICARESIDENTES,ESTADOSUNIDOS,1,14515
129,2010,CmaraNegritudes,ASOCIACIONDEDESPLAZADOSDELACOSTAPACIFICARESIDENTES,INGLATERRA,1,7055
130,2010,CmaraNegritudes,ASOCIACIONDEDESPLAZADOSDELACOSTAPACIFICARESIDENTES,VENEZUELA,3,28288
131,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,ALEMANIA,1,608
132,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,CANADA,1,3376
133,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,ECUADOR,1,4302
134,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,ESTADOSUNIDOS,6,259
135,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,FRANCIA,1,1145
136,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,VENEZUELA,4,28288
137,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,ALEMANIA,1,1185
138,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,BELGICA,1,1004
139,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,COSTARICA,1,6350
140,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,ESTADOSUNIDOS,4,24111
141,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,SUIZA,1,635
142,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,VENEZUELA,12,28288
143,2010,CmaraNegritudes,ASOCIACIONKUAGROSOCIALLOSMARLINSAKUASOMAR,INGLATERRA,1,7055
144,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,ARGENTINA,2,2859
145,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,CHILE,2,2163
146,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,ECUADOR,4,4302
147,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,FRANCIA,1,1145
148,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,URUGUAY,1,290
149,2010,CmaraNegritudes,ASOCIACIONMISIONCOLOMBIA,VENEZUELA,3,28288
150,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,ECUADOR,1,4302
151,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,ESPANA,1,11707
152,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,ESTADOSUNIDOS,6,24111
153,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,FRANCIA,1,3576
154,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,INGLATERRA,2,7055
155,2010,CmaraNegritudes,ASOCIACIONNACIONALDEESTUDIANTESAFROCOLOMBIANOSASNEA,VENEZUELA,3,28288
156,2010,CmaraNegritudes,ASOCIACIONNUEVAVIDA,ECUADOR,1,2785
157,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEB,ESTADOSUNIDOS,1,14515
158,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEL,ESTADOSUNIDOS,2,7974
159,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEP,ECUADOR,2,2785
160,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEP,ESPANA,1,3846
161,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEP,PAISESBAJOSARUBA,1,2517
162,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDEP,VENEZUELA,3,9097
163,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDES,CANADA,1,3397
164,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDES,ECUADOR,1,2785
165,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDES,ESTADOSUNIDOS,1,5907
166,2010,CmaraNegritudes,ASOCIACIONPORLOSDERECHOSDELASCOMUNIDADESNEGRASDES,VENEZUELA,1,28288
167,2010,CmaraNegritudes,COMUNIDADESAFROCOLOMBIANASYNEGRITUDESORGANIZADASPARA,ECUADOR,1,2785
168,2010,CmaraNegritudes,COMUNIDADESAFROCOLOMBIANASYNEGRITUDESORGANIZADASPARA,VENEZUELA,2,746
169,2010,CmaraNegritudes,CONSEJOCOMUNITARIODECORDOBAYSANCIPRIANODELMUNICIPI,ESTADOSUNIDOS,2,1334
170,2010,CmaraNegritudes,CONSEJOCOMUNITARIODECORDOBAYSANCIPRIANODELMUNICIPI,VENEZUELA,1,389
171,2010,CmaraNegritudes,CONSEJOCOMUNITARIODELAINSPECCIONDEPOLICIADEPUERTO,COSTARICA,1,6350
172,2010,CmaraNegritudes,CONSEJOCOMUNITARIODELAINSPECCIONDEPOLICIADEPUERTO,HOLANDA,1,410
173,2010,CmaraNegritudes,CONSEJOCOMUNITARIODELAINSPECCIONDEPOLICIADEPUERTO,VENEZUELA,1,9097
174,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,CANADA,1,3397
175,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,ECUADOR,2,3144
176,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,ESTADOSUNIDOS,1,3787
177,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,NORUEGA,1,65
178,2010,CmaraNegritudes,CONVIVENCIAPACIFICAFUNDACION,VENEZUELA,3,4442
179,2010,CmaraNegritudes,COPORACIONPARAELDESARROLLOYCAPACITACIONDEBUENAVENTU,ESPANA,1,13237
180,2010,CmaraNegritudes,COPORACIONPARAELDESARROLLOYCAPACITACIONDEBUENAVENTU,ESTADOSUNIDOS,4,5212
181,2010,CmaraNegritudes,COPORACIONPARAELDESARROLLOYCAPACITACIONDEBUENAVENTU,VENEZUELA,3,9097
182,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,AUSTRALIA,1,1145
183,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,ECUADOR,1,2785
184,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,ESTADOSUNIDOS,3,5212
185,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,SUIZA,1,1054
186,2010,CmaraNegritudes,CORPORACIONABOSAOCORABOSAO,VENEZUELA,3,28288
187,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,ARGENTINA,2,2859
188,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,COSTARICA,1,6350
189,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,ECUADOR,3,2785
190,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,ESTADOSUNIDOS,1,4786
191,2010,CmaraNegritudes,CORPORACIONAFROCARTAGENAAFROCAR,PANAMA,1,6832
192,2010,CmaraNegritudes,CORPORACIONAFROCOLOMBIANAMALCOLMX,ESPANA,2,11766
193,2010,CmaraNegritudes,CORPORACIONAFROETNICO,ESPANA,1,9042
194,2010,CmaraNegritudes,CORPORACIONAFROETNICO,ESTADOSUNIDOS,3,1954
195,2010,CmaraNegritudes,CORPORACIONCIMARRON,ESTADOSUNIDOS,1,24111
196,2010,CmaraNegritudes,CORPORACIONCIMARRON,VENEZUELA,2,28288
197,2010,CmaraNegritudes,CORPORACIONDELIDERAZGOYDESARROLLOEMPRESARIALAFROCOLO,ESTADOSUNIDOS,3,4667
198,2010,CmaraNegritudes,CORPORACIONDELIDERAZGOYDESARROLLOEMPRESARIALAFROCOLO,INGLATERRA,1,7055
199,2010,CmaraNegritudes,CORPORACIONDELIDERAZGOYDESARROLLOEMPRESARIALAFROCOLO,VENEZUELA,1,5099
200,2010,CmaraNegritudes,CORPORACIONNELSONMANDELACORMANDELA,ECUADOR,2,690
201,2010,CmaraNegritudes,CORPORACIONNELSONMANDELACORMANDELA,ESPANA,1,3050
202,2010,CmaraNegritudes,CORPORACIONNELSONMANDELACORMANDELA,ESTADOSUNIDOS,2,4667
203,2010,CmaraNegritudes,CORPORACIONNELSONMANDELACORMANDELA,VENEZUELA,1,28288
204,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,CANADA,1,1879
205,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,CHILE,1,2163
206,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,ECUADOR,2,3144
207,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,ESTADOSUNIDOS,3,3787
208,2010,CmaraNegritudes,CORPORACIONSOCIALEINTEGRALDELPACIFICOCORPOSINPAC,VENEZUELA,1,28288
209,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,ARGENTINA,1,2859
210,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,HOLANDA,1,410
211,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,MEXICO,1,2522
212,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,PANAMA,1,6832
213,2010,CmaraNegritudes,FUNDACIONAFROGUAJIRAFUNAGUA,VENEZUELA,1,15149
214,2010,CmaraNegritudes,FUNDACIONAFROYCULTURALAESPERANZAFACE,ECUADOR,1,4302
215,2010,CmaraNegritudes,FUNDACIONAFROYCULTURALAESPERANZAFACE,ESPANA,1,13237
216,2010,CmaraNegritudes,FUNDACIONAFROYCULTURALAESPERANZAFACE,ESTADOSUNIDOS,2,4786
217,2010,CmaraNegritudes,FUNDACIONCOMUNIDADESDELPACIFICOCOLOMBIANOFUNCOPACOL,ESTADOSUNIDOS,2,14800
218,2010,CmaraNegritudes,FUNDACIONCOMUNIDADESDELPACIFICOCOLOMBIANOFUNCOPACOL,PUERTORICO,1,102
219,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,ARGENTINA,3,2859
220,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,CANADA,1,1879
221,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,ECUADOR,1,3144
222,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,ESPANA,2,11766
223,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,ESTADOSUNIDOS,1,5732
224,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,PANAMA,1,6832
225,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,PUERTORICO,1,102
226,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,SUECIA,2,507
227,2010,CmaraNegritudes,FUNDACIONDEDESARROLLOSOCIALDEPORTIVACULTURALAMANDAS,ECUADOR,1,4302
228,2010,CmaraNegritudes,FUNDACIONDEPORTIVAVIAFARAFUNDEVIA,ECUADOR,1,2785
229,2010,CmaraNegritudes,FUNDACIONDEPORTIVAVIAFARAFUNDEVIA,VENEZUELA,2,28288
230,2010,CmaraNegritudes,FUNDACIONFUNDAPAS,ECUADOR,1,4302
231,2010,CmaraNegritudes,FUNDACIONFUNDAPAS,ESPANA,2,11707
232,2010,CmaraNegritudes,FUNDACIONFUNDAPAS,ESTADOSUNIDOS,2,3787
233,2010,CmaraNegritudes,FUNDACIONFUNDAPAS,VENEZUELA,3,389
234,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,ECUADOR,1,1397
235,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,ESTADOSUNIDOS,1,4357
236,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,HOLANDA,1,410
237,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,PANAMA,1,908
238,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,VENEZUELA,11,28288
239,2010,CmaraNegritudes,FUNDACIONINTENSIDADFUNDAIN,ESTADOSUNIDOS,2,1954
240,2010,CmaraNegritudes,FUNDACIONINTENSIDADFUNDAIN,REPUBLICADOMINICANA,1,1558
241,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ARGENTINA,3,2859
242,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,AUSTRALIA,1,491
243,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ECUADOR,7,4302
244,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,EGIPTO,1,95
245,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ESPANA,3,11766
246,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ESTADOSUNIDOS,7,553
247,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,PAISESBAJANTILLASHOLANDESAS,1,1148
248,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,PANAMA,1,6832
249,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,REPUBLICADOMINICANA,1,1558
250,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,SUECIA,1,507
251,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,VENEZUELA,14,28288
